images,location,trials_0.thisRepN,trials_0.thisTrialN,trials_0.thisN,trials_0.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,text_11.started,text_11.stopped,Inst.started,Inst.stopped,stimuli_prac.started,stimuli_prac.stopped,click.x,click.y,click.leftButton,click.midButton,click.rightButton,click.time,click.started,click.stopped,text_14.started,text_14.stopped,mem_inst.keys,mem_inst.rt,No_inst.keys,No_inst.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,27.128295000002254,None,29.31131560000358,None,31.763865599990822,None,-0.30375,0.0775,1,0,0,0.819435200013686,0.016318620007950813,None,,,,,,,,001,2021_Jul_23_0519,exp3,2021.2.0,59.73961890339507,
images/2.jpg,"(0.05, 0.01)",0,0,0,0,,,,,,,,,,,,,,,,,,,-0.07625,-0.1275,1,0,0,0.8880001999787055,0.016262219985947013,None,33.36299529997632,None,,,,,,001,2021_Jul_23_0519,exp3,2021.2.0,59.73961890339507,
images/27.jpg,"(-0.3, 0.15)",0,1,1,1,,,,,,,,,,,,,,,,,,,-0.07125,-0.115,1,0,0,0.2198869000421837,0.016228020016569644,None,35.57805929996539,None,,,,,,001,2021_Jul_23_0519,exp3,2021.2.0,59.73961890339507,
images/64.jpg,"(0.25, 0)",0,2,2,2,,,,,,,,,,,,,,,,,,,-0.07125,-0.115,1,0,0,0.22080210002604872,0.01624472002731636,None,36.822887199989054,None,,,,,,001,2021_Jul_23_0519,exp3,2021.2.0,59.73961890339507,
images/4.jpg,"(0.2, -0.3)",0,3,3,3,,,,,,,,,,,,,,,,,,,-0.07125,-0.115,1,0,0,0.20257819996913895,0.016180219943635166,None,37.57784569996875,None,,,,,,001,2021_Jul_23_0519,exp3,2021.2.0,59.73961890339507,
images/32.jpg,"(-0.3, 0.3)",0,4,4,4,,,,,,,,,,,,,,,,,,,-0.07125,-0.115,1,0,0,1.3804021999821998,0.01605522003956139,None,38.24274079996394,None,,,,,,001,2021_Jul_23_0519,exp3,2021.2.0,59.73961890339507,
images/79.jpg,"(0.1, -0.05)",0,5,5,5,,,,,,,,,,,,,,,,,,,-0.07125,-0.115,1,0,0,0.6211839999887161,0.01619622006546706,None,40.14860449999105,None,,,,,,001,2021_Jul_23_0519,exp3,2021.2.0,59.73961890339507,
images/8.jpg,"(-0.3, -0.3)",0,6,6,6,,,,,,,,,,,,,,,,,,,-0.07125,-0.115,1,0,0,0.45511109998915344,0.01633532001869753,None,41.44998179998947,None,,,,,,001,2021_Jul_23_0519,exp3,2021.2.0,59.73961890339507,
images/38.jpg,"(-0.3, -0.25)",0,7,7,7,,,,,,,,,,,,,,,,,,,-0.07125,-0.115,1,0,0,0.4366938000312075,0.016190719965379685,None,42.431585699960124,None,,,,,,001,2021_Jul_23_0519,exp3,2021.2.0,59.73961890339507,
images/87.jpg,"(-0.3, 0.05)",0,8,8,8,,,,,,,,,,,,,,,,,,,-0.07125,-0.115,1,0,0,0.5667459000251256,0.016271220054477453,None,43.43465670000296,None,,,,,,001,2021_Jul_23_0519,exp3,2021.2.0,59.73961890339507,
images/16.jpg,"(-0.25, 0.3)",0,9,9,9,,,,,,,,,,,,,,,,,,,-0.07125,-0.115,1,0,0,0.567967300012242,0.016047320037614554,None,44.56145340000512,None,,,,,,001,2021_Jul_23_0519,exp3,2021.2.0,59.73961890339507,
images/47.jpg,"(0, 0.3)",0,10,10,10,,,,,,,,,,,,,,,,,,,-0.07125,-0.115,1,0,0,0.538081799983047,0.016338719986379147,None,45.66467009996995,None,,,,,,001,2021_Jul_23_0519,exp3,2021.2.0,59.73961890339507,
images/100.jpg,"(0.3, 0.2)",0,11,11,11,,,,,,,,,,,,,,,,,,,-0.07125,-0.115,1,0,0,0.85324640001636,0.016199920035433024,None,46.772154599952046,None,,,,,,001,2021_Jul_23_0519,exp3,2021.2.0,59.73961890339507,
images/20.jpg,"(0.02, -0.3)",0,12,12,12,,,,,,,,,,,,,,,,,,,-0.07125,-0.115,1,0,0,0.595964299980551,0.016162919986527413,None,48.185883299971465,None,,,,,,001,2021_Jul_23_0519,exp3,2021.2.0,59.73961890339507,
images/55.jpg,"(-0.1, -0.3)",0,13,13,13,,,,,,,,,,,,,,,,,,,-0.07125,-0.115,1,0,0,0.6199120999663137,0.01632632006658241,None,49.37508520000847,None,,,,,,001,2021_Jul_23_0519,exp3,2021.2.0,59.73961890339507,
images/128.jpg,"(0.3, 0.1)",0,14,14,14,,,,,,,,,,,,,,,,,,,-0.07125,-0.115,1,0,0,0.7028316000360064,0.016164219996426255,None,50.53986899997108,None,,,,,,001,2021_Jul_23_0519,exp3,2021.2.0,59.73961890339507,
images/2.jpg,"(0.05, 0.01)",,,,,0,0,0,0,,,,,,,,,,,,,,,-0.07125,-0.115,1,0,0,0.451830499980133,0.016261020035017282,None,,,1,0.8812350999796763,,,,001,2021_Jul_23_0519,exp3,2021.2.0,59.73961890339507,
images/27.jpg,"(-0.3, 0.15)",,,,,0,1,1,1,,,,,,,,,,,,,,,-0.07125,-0.115,1,0,0,0.4691356999683194,0.0162702199886553,None,,,1,0.7084337000269443,,,,001,2021_Jul_23_0519,exp3,2021.2.0,59.73961890339507,
images/64.jpg,"(0.25, 0)",,,,,0,2,2,2,,,,,,,,,,,,,,,-0.07125,-0.115,1,0,0,0.5704683000221848,0.016352119971998036,None,,,1,0.26901659998111427,,,,001,2021_Jul_23_0519,exp3,2021.2.0,59.73961890339507,
images/4.jpg,"(0.2, -0.3)",,,,,0,3,3,3,,,,,,,,,,,,,,,-0.07125,-0.115,1,0,0,0.5185019000200555,0.016346819989848882,None,,,1,0.30041279998840764,,,,001,2021_Jul_23_0519,exp3,2021.2.0,59.73961890339507,
images/32.jpg,"(-0.3, 0.3)",,,,,0,4,4,4,,,,,,,,,,,,,,,-0.07125,-0.115,1,0,0,0.5702548999688588,0.01628651999635622,None,,,1,0.4164730000193231,,,,001,2021_Jul_23_0519,exp3,2021.2.0,59.73961890339507,
images/79.jpg,"(0.1, -0.05)",,,,,0,5,5,5,,,,,,,,,,,,,,,-0.07125,-0.115,1,0,0,0.9226177000091411,0.016318319947458804,None,,,1,0.49597250000806525,,,,001,2021_Jul_23_0519,exp3,2021.2.0,59.73961890339507,
images/8.jpg,"(-0.3, -0.3)",,,,,0,6,6,6,,,,,,,,,,,,,,,-0.07125,-0.115,1,0,0,0.8214167999685742,0.01626412000041455,None,,,1,0.25099169998429716,,,,001,2021_Jul_23_0519,exp3,2021.2.0,59.73961890339507,
images/38.jpg,"(-0.3, -0.25)",,,,,0,7,7,7,,,,,,,,,,,,,,,-0.07125,-0.115,1,0,0,0.8533101000357419,0.016240719996858388,None,,,1,0.25347060000058264,,,,001,2021_Jul_23_0519,exp3,2021.2.0,59.73961890339507,
images/87.jpg,"(-0.3, 0.05)",,,,,0,8,8,8,,,,,,,,,,,,,,,-0.07125,-0.115,1,0,0,0.9191018000128679,0.01631001994246617,None,,,1,0.39390199998160824,,,,001,2021_Jul_23_0519,exp3,2021.2.0,59.73961890339507,
images/16.jpg,"(-0.25, 0.3)",,,,,0,9,9,9,,,,,,,,,,,,,,,-0.07125,-0.115,1,0,0,0.5370504999882542,0.016240719996858388,None,,,1,0.4928745999932289,,,,001,2021_Jul_23_0519,exp3,2021.2.0,59.73961890339507,
images/47.jpg,"(0, 0.3)",,,,,0,10,10,10,,,,,,,,,,,,,,,-0.07125,-0.115,1,0,0,1.053830300050322,0.016282719967421144,None,,,1,0.6439355000038631,,,,001,2021_Jul_23_0519,exp3,2021.2.0,59.73961890339507,
