images,trials_0.thisRepN,trials_0.thisTrialN,trials_0.thisN,trials_0.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,text_11.started,text_11.stopped,Inst.started,Inst.stopped,stimuli_prac.started,stimuli_prac.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_12.started,text_12.stopped,text_14.started,text_14.stopped,Survey.keys,Survey.rt,Survey.started,Survey.stopped,mem_inst.keys,mem_inst.rt,No_inst.keys,No_inst.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,21.904519799980335,None,23.936036899976898,None,26.11826660000952,None,4,1.1045204000547528,26.31996509997407,None,,,,,,,,,,,,,,001,2021_Jul_23_0355,exp1,2021.2.0,59.65576239955079,
images/2.jpg,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,26.31996509997407,None,29.165045299974736,None,4,0.31771829997887835,30.058525300002657,None,,,,,,001,2021_Jul_23_0355,exp1,2021.2.0,59.65576239955079,
images/27.jpg,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,30.400260299968068,None,4,0.31442380003863946,30.941815799975302,None,,,,,,001,2021_Jul_23_0355,exp1,2021.2.0,59.65576239955079,
images/64.jpg,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,31.285315299988724,None,4,0.17201780003961176,31.860486799967475,None,,,,,,001,2021_Jul_23_0355,exp1,2021.2.0,59.65576239955079,
images/4.jpg,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,32.06733669998357,None,4,0.158122299995739,32.5781606999808,None,,,,,,001,2021_Jul_23_0355,exp1,2021.2.0,59.65576239955079,
images/32.jpg,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,32.76738099998329,None,3,0.17015709995757788,33.26208939997014,None,,,,,,001,2021_Jul_23_0355,exp1,2021.2.0,59.65576239955079,
images/79.jpg,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,33.468926700006705,None,3,0.14181770000141114,33.94641709997086,None,,,,,,001,2021_Jul_23_0355,exp1,2021.2.0,59.65576239955079,
images/8.jpg,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,34.119727100012824,None,3,0.1145939000416547,34.5979824999813,None,,,,,,001,2021_Jul_23_0355,exp1,2021.2.0,59.65576239955079,
images/38.jpg,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,34.74387339997338,None,3,0.20873290003510192,35.19971249997616,None,,,,,,001,2021_Jul_23_0355,exp1,2021.2.0,59.65576239955079,
images/87.jpg,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,35.44617419998394,None,3,0.15892620000522584,35.83349539997289,None,,,,,,001,2021_Jul_23_0355,exp1,2021.2.0,59.65576239955079,
images/16.jpg,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,36.02768769999966,None,3,0.1256139999604784,36.43458780000219,None,,,,,,001,2021_Jul_23_0355,exp1,2021.2.0,59.65576239955079,
