images,location,trials_0.thisRepN,trials_0.thisTrialN,trials_0.thisN,trials_0.thisIndex,text_11.started,text_11.stopped,Inst.started,Inst.stopped,practice_dot.started,practice_dot.stopped,click.x,click.y,click.leftButton,click.midButton,click.rightButton,click.time,click.started,click.stopped,text_14.started,text_14.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,28.707227499980945,None,30.82316319999518,None,34.17067809996661,None,0.08375,0.10375,1,0,0,1.6541465999907814,0.016095519997179508,None,,,,001,2021_Jul_23_0422,exp1,2021.2.0,59.671567698296144,
images/2.jpg,"(0.05, 0.01)",0,0,0,0,,,,,,,-0.245,-0.16375,1,0,0,1.1230254999827594,0.016220219957176596,None,37.12967449997086,None,,001,2021_Jul_23_0422,exp1,2021.2.0,59.671567698296144,
