images,location,trials_0.thisRepN,trials_0.thisTrialN,trials_0.thisN,trials_0.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,text_11.started,text_11.stopped,Inst.started,Inst.stopped,stimuli_prac.started,stimuli_prac.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_12.started,text_12.stopped,text_14.started,text_14.stopped,Survey.keys,Survey.rt,Survey.started,Survey.stopped,mem_inst.keys,mem_inst.rt,No_inst.keys,No_inst.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,29.051039799989667,None,31.18197400000645,None,33.48950680001872,None,2,0.9674006999703124,33.704291599977296,None,,,,,,,,,,,,,,001,2021_Jul_23_0511,exp1,2021.2.0,59.56905363018186,
images/2.jpg,"(0.05, 0.01)",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,33.704291599977296,None,35.655516600003466,None,2,1.0774960999842733,37.17777890001889,None,,,,,,001,2021_Jul_23_0511,exp1,2021.2.0,59.56905363018186,
images/27.jpg,"(-0.3, 0.15)",0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,38.29100859997561,None,2,0.14611069997772574,38.84539049997693,None,,,,,,001,2021_Jul_23_0511,exp1,2021.2.0,59.56905363018186,
images/64.jpg,"(0.25, 0)",0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,39.0314650000073,None,2,0.14650509995408356,39.56495400000131,None,,,,,,001,2021_Jul_23_0511,exp1,2021.2.0,59.56905363018186,
images/4.jpg,"(0.2, -0.3)",0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,39.74037259997567,None,2,0.15942360000917688,40.26384239998879,None,,,,,,001,2021_Jul_23_0511,exp1,2021.2.0,59.56905363018186,
images/32.jpg,"(-0.3, 0.3)",0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,40.46093609998934,None,2,0.12281780003104359,40.964447400008794,None,,,,,,001,2021_Jul_23_0511,exp1,2021.2.0,59.56905363018186,
images/79.jpg,"(0.1, -0.05)",0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,41.13227519998327,None,2,0.13542179996147752,41.63182329997653,None,,,,,,001,2021_Jul_23_0511,exp1,2021.2.0,59.56905363018186,
images/8.jpg,"(-0.3, -0.3)",0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,41.797134799999185,None,2,0.116026800009422,42.315915299986955,None,,,,,,001,2021_Jul_23_0511,exp1,2021.2.0,59.56905363018186,
images/38.jpg,"(-0.3, -0.25)",0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,42.46065179997822,None,2,0.12014620000263676,42.967142699984834,None,,,,,,001,2021_Jul_23_0511,exp1,2021.2.0,59.56905363018186,
images/87.jpg,"(-0.3, 0.05)",0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,43.11306589999003,None,2,0.13366819999646395,43.60139690001961,None,,,,,,001,2021_Jul_23_0511,exp1,2021.2.0,59.56905363018186,
images/16.jpg,"(-0.25, 0.3)",0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,43.7584129999741,None,2,0.07431220001308247,44.269070799986366,None,,,,,,001,2021_Jul_23_0511,exp1,2021.2.0,59.56905363018186,
images/47.jpg,"(0, 0.3)",0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,44.37796640000306,None,2,0.12254730000859126,44.83684720000019,None,,,,,,001,2021_Jul_23_0511,exp1,2021.2.0,59.56905363018186,
images/100.jpg,"(0.3, 0.2)",0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,45.00137060001725,None,2,0.012158599973190576,45.387061299989,None,,,,,,001,2021_Jul_23_0511,exp1,2021.2.0,59.56905363018186,
images/20.jpg,"(0.02, -0.3)",0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,45.4318520000088,None,2,0.5335725999902934,45.905472600017674,None,,,,,,001,2021_Jul_23_0511,exp1,2021.2.0,59.56905363018186,
images/55.jpg,"(-0.1, -0.3)",0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,46.46145579998847,None,2,0.38157259998843074,46.90577720000874,None,,,,,,001,2021_Jul_23_0511,exp1,2021.2.0,59.56905363018186,
images/128.jpg,"(0.3, 0.1)",0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,47.31656760000624,None,2,0.13590980001026765,47.79139710002346,None,,,,,,001,2021_Jul_23_0511,exp1,2021.2.0,59.56905363018186,
images/2.jpg,"(0.05, 0.01)",,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,1,0.13151470001321286,49.07619200000772,None,1,0.8398932000272907,,,,001,2021_Jul_23_0511,exp1,2021.2.0,59.56905363018186,
images/27.jpg,"(-0.3, 0.15)",,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,1,0.14509720000205562,49.64617399999406,None,1,0.16444000002229586,,,,001,2021_Jul_23_0511,exp1,2021.2.0,59.56905363018186,
images/64.jpg,"(0.25, 0)",,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,1,0.1553254000027664,50.22790779999923,None,1,0.15287490002810955,,,,001,2021_Jul_23_0511,exp1,2021.2.0,59.56905363018186,
