images,trials_0.thisRepN,trials_0.thisTrialN,trials_0.thisN,trials_0.thisIndex,text_11.started,text_11.stopped,Inst.started,Inst.stopped,stimuli_prac.started,stimuli_prac.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_12.started,text_12.stopped,text_14.started,text_14.stopped,Survey.keys,Survey.rt,Survey.started,Survey.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,100.49431410001125,None,102.6434790000203,None,105.09990849997848,None,7,6.407357899995986,105.30058500001905,None,,,,,,,,,,001,2021_Jul_23_0347,exp1,2021.2.0,60.26089350657656,
images/2.jpg,0,0,0,0,,,,,,,,,,,105.30058500001905,None,113.22258469997905,None,4,0.7941677999915555,114.5132711000042,None,,001,2021_Jul_23_0347,exp1,2021.2.0,60.26089350657656,
images/27.jpg,0,1,1,1,,,,,,,,,,,,,115.34065239998745,None,4,0.18498249998083338,115.89830020000227,None,,001,2021_Jul_23_0347,exp1,2021.2.0,60.26089350657656,
images/64.jpg,0,2,2,2,,,,,,,,,,,,,116.10560529999202,None,2,0.19170819997088984,116.66782219999004,None,,001,2021_Jul_23_0347,exp1,2021.2.0,60.26089350657656,
images/4.jpg,0,3,3,3,,,,,,,,,,,,,116.88807310000993,None,3,0.43372110003838316,117.40191549999872,None,,001,2021_Jul_23_0347,exp1,2021.2.0,60.26089350657656,
images/32.jpg,0,4,4,4,,,,,,,,,,,,,117.85812440002337,None,2,0.203487100021448,118.35206270002527,None,,001,2021_Jul_23_0347,exp1,2021.2.0,60.26089350657656,
images/79.jpg,0,5,5,5,,,,,,,,,,,,,118.59437760000583,None,2,0.291614199988544,119.10371539997868,None,,001,2021_Jul_23_0347,exp1,2021.2.0,60.26089350657656,
images/8.jpg,0,6,6,6,,,,,,,,,,,,,119.42878459999338,None,2,0.27745329996105283,120.00595050002448,None,,001,2021_Jul_23_0347,exp1,2021.2.0,60.26089350657656,
images/38.jpg,0,7,7,7,,,,,,,,,,,,,120.3120061000227,None,3,0.21943499997723848,120.839928100002,None,,001,2021_Jul_23_0347,exp1,2021.2.0,60.26089350657656,
images/87.jpg,0,8,8,8,,,,,,,,,,,,,121.09591969999019,None,4,0.2291422999696806,121.59048650000477,None,,001,2021_Jul_23_0347,exp1,2021.2.0,60.26089350657656,
images/16.jpg,0,9,9,9,,,,,,,,,,,,,121.84848059999058,None,4,0.21842999994987622,122.4089343000087,None,,001,2021_Jul_23_0347,exp1,2021.2.0,60.26089350657656,
images/47.jpg,0,10,10,10,,,,,,,,,,,,,122.64898449997418,None,5,0.13119660003576428,123.19256659998791,None,,001,2021_Jul_23_0347,exp1,2021.2.0,60.26089350657656,
images/100.jpg,0,11,11,11,,,,,,,,,,,,,123.3497257999843,None,4,0.14204860001336783,123.87740300002042,None,,001,2021_Jul_23_0347,exp1,2021.2.0,60.26089350657656,
images/20.jpg,0,12,12,12,,,,,,,,,,,,,124.05003589997068,None,5,0.09685380000155419,124.57855460001156,None,,001,2021_Jul_23_0347,exp1,2021.2.0,60.26089350657656,
,,,,,,,,,,,,,,,,,124.70310079999035,None,,,,,,,,,,,
